序号,机构logo,"供应商全称
",机构名,"供应商性质
（直媒/集采/独代）",当前政策梯度,供应商开票内容,供应商开票信息,24年政策,,25年政策,,24年合作情况,,25年合作情况,,"签框前
累量金额
（针对新签约供应商）",税率(%),返点账期,支付账期,是否代下单,代下单服务费,一级对接人,,,,二级对接人,,,年框合同信息,,,,,,,,资源类型,资源属性,可合作平台,,,,,,,,,,供应商简介,2025年刊例链接,,,,,,,,,,,,
30,,杭州勇远直前文化传播有限公司,直前,独代+集采,25%≤X＜30%,信息服务费,,"独家政策：抖音、快手：拉齐30%，小红书：25%
外采政策：抖音不低于20%，小红书不低于15%
可外采不代下单","独家政策：抖音、快手：拉齐30%，小红书：25%
外采政策：抖音不低于20%，小红书不低于15%
可外采不代下单",独家政策：抖音、快手：拉齐30%，小红书：25%外采政策：抖音不低于20%，小红书不低于15%可外采不代下单,独家政策：抖音、快手：拉齐30%，小红书：25%外采政策：抖音不低于20%，小红书不低于15%可外采不代下单,"228,900","110,000",,,,6,1个月,/,否,/,胡倩,商务总监,qianqian@zhiqian168.com,15706201808,张璇,公司老板 ,17701306393,2024.7.1,2025/6/30,-122,"机构：直前
机构类型：独代+集采

2025、2026年政策：

独家政策：抖音：30%，小红书：25%，快手：30%
外采或定询政策：抖音不低于20%，小红书不低于15%，快手不低于20%。（这里需要沟通一下抖音和快手不低于25%，小红书不低于20%）

外采抖音和快手不低于25%，小红书不低于20%

可外采不代下单
@邓惠雅
返点账期：1个月
开票内容：以下二选一
第一优先级：*（其他）现代服务*活动服务费
第二优先级：*（其他）现代服务*信息服务费✅
发票税率：6% 
是否可配合比价：可
是否可代下单：否
年框时间：2025.8.1-2027.7.31
@邓惠雅可推进签署",@郑玉莹已提升政策，待确认,2025/9/26,viya,,"汽车,母婴,美妆,时尚,生活,美食,亲子,数码,旅行,二次元,剧情,影视娱乐,三农,财经","测评,探店,coser,大学生,外国人,电视台/电台主持人,演员,情侣,舞蹈,节目嘉宾,留学生,二次元,海外,一人多角,变装,歌手/音乐,运动健身",√,√,,,,,,,,,直前文化公司简介.pdf,,,【直前】(高返点）3月重点推荐达人刊例3.10.xlsx,"【直前】(高返点）4月重点推荐达人刊例0402.xlsx
【直前】家居家装达人-直前文化4.2.xls",【直前】(高返点）5月重点推荐达人刊例5.26.xlsx,【直前】(高返点）6月重点推荐达人刊例6.3(1).xlsx,【直前】(高返点）7月重点推荐达人刊例7.2.xlsx,【直前】(高返点）8月重点推荐达人刊例8.4.xlsx,,【直前】(高返点）10月重点推荐达人刊例10.13.xlsx,,,
31,,上海瞬视信息科技有限公司,门牙、克莱因、超麦mcn,独代+集采,25%≤X＜30%,信息技术服务-信息服务费,,"机构：门牙
政策：
0-300W：25%
300W以上：30%
","机构：门牙
政策：
0-300W：25%
300W以上：30%",,,"1,291,775","1,291,775",,,,6,1个月,/,否,/,李佳琦,商务负责人,lijiaqi@menyashipin.com,Lijiaqi4445,李佳琦,商务总裁,Lijiaqi4445,,,,"抖音、小红书：
0＜R＜300：27%
300≤R：30%
汽车项目：30%
不可代下单，不可外采
开票：其他现代服务*信息服务费，6%
@郑玉莹找佳琦确认",,,SIRI,,"汽车,母婴,美妆,生活,亲子,家居,数码,剧情","测评,高学历,外国人,电视台/电台主持人,演员,专业化妆师/造型师,留学生,高级皮肤管理师,模特,科普,穿搭,运动员,AI",√,√,,√,√,,,√,,,"【公司简介】
门牙视频是国内领先的短视频红人孵化平台，也是头部短视频MCN机构。
 
【综合实力】
签约达人超过1000位，全网粉丝数超过6亿，视频累计播放量超过600亿，单条视频最高播放量超过2亿。

【核心优势】
门牙视频是专注红人孵化和内容种草的短视频MCN机构；率先引领多赛道矩阵化布局，持续创新达人种草玩法，成为短视频时代优质流量综合体；擅长将内容流量转化为品牌价值，致力于为美妆、母婴、快消、汽车、家居、数码、时尚等产业品牌增长赋能，在短视频内容营销领域处于行业领先地位，已成功服务超过2500个国内外知名品牌。",【门牙视频】2025年1月抖音达人资源报价表.xlsx,【门牙视频】2025年2月抖音达人资源报价表.xlsx,"【门牙&门牙MCN】2025年3月小红书达人资源-椿.xlsx
【门牙视频&引力波&大芒果】2025年3月抖音达人资源报价表.xlsx
【门牙视频】25年3月快手&微博&视频号达人报价表.xlsx",【门牙】2025年4月抖音达人资源报价表.xlsx,"【门牙&门牙MCN】2025年5小红书达人资源.xlsx
【门牙视频&引力波&大芒果】2025年5月抖音达人资源报价表.xlsx","【门牙&门牙MCN】2025年6月小红书达人资源.xlsx
【门牙视频&引力波&大芒果】2025年6月抖音达人资源报价表(3).xlsx",【门牙视频&引力波&大芒果】2025年7月抖音达人资源报价表.xlsx,【门牙视频&引力波&大芒果】2025年8月抖音达人资源报价表(1).xlsx,,,,,
32,,湖南瞬视而为信息科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,海南瞬视信息科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,江苏瞬风瞬水信息科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,广西瞬视信息科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,宁波侵尘文化传媒有限公司,侵尘、侵尘碧玺、陆离、天禄,独代+集采,20%≤X＜25%,广告发布费,,"和侵尘白泽拉齐政策

年框时间：2023/9/1-2024/8/31
小红书+抖音平台拉齐政策
独家资源：返点20%（除enndeme跟寅山2个账号返点15%）
非独家资源：返点不低于15%
代下单账期：90天（内容发布日起算），代下单服务费：2%","独家资源：返点20%（除enndeme跟寅山2个账号返点15%）
非独家资源：返点不低于15%","全平台机构自营/独家签约账号拉齐政策（均为小红书平台）4个主体：
侵尘文化、侵尘碧玺、侵尘家居、天禄文化：23%    陆离文化：26% ",侵尘文化、侵尘碧玺、侵尘家居、天禄文化：23%    陆离文化：26% ,"1,508,000","1,508,000",,,,6,1个月,1个月,/,/,王宛瑛,渠道商务经理,kitty@kingsta.com,,林家贤 ,侵尘创始人之一,KM-kakazi,2025/7/1,2026/6/30,243,已归档,,,鑫豪,双盖版【供应商-年框合同审批-数字】宁波侵尘文化传媒有限公司+年框供应商+2025年6月+2025年社会化媒体年度代理协议书-一式四份-批注版.pdf ,"母婴,美妆,时尚,生活,美食,亲子,家居,数码,萌宠,旅行","测评,探店,coser,情侣,科普,古装/古风/国风,穿搭",√,√,,,,,,,,,,,侵尘文化2月刊例v1.xlsx,侵尘文化3月刊例v2.xlsx,【侵尘文化】4月刊例v3.xlsx,/,侵尘文化6月刊例v1(1).xlsx,侵尘文化7月刊例v3.xlsx,侵尘文化8月刊例v2.xlsx,,侵尘文化10月刊例v3.xlsx,,,
37,,成都潮我看文化传媒有限公司,OST,独代,x≥30%,广告服务*广告发布费 ,,"政策：独家刊例资源政策，没有外采
抖音：25%
小红书：20%
快手：20%",抖音：25%小红书：20%快手：20%,"抖音、快手、小红书：0<R<1000：30%
R≥1000：32%
短剧：30%
朱铁雄：10%
达莎 digi：10%
管家小葛：20%
北方姑娘糖糖、香菜不好：25%","抖音、快手、小红书：0<R<1000：30%
短剧：30%
朱铁雄：10%
达莎 digi：10%
管家小葛：20%
北方姑娘糖糖、香菜不好：25%","397,000","397,000",,,,6,1个月,1个月,是,/,尹乔,商务经理,yinqiao@ostyule.com,17078087222,王静怡,组长/商务总监,Dora9999900000,2025/1/1,2025/12/31,62,已归档,,,鑫豪,双盖版【供应商-年框合同审批-数字】成都潮我看文化传媒有限公司+年框供应商+2025年8月+2025年社会化媒体年度代理协议书-一式四份-批注版.pdf ,"汽车,美妆,时尚,生活,美食,亲子,家居,萌宠,二次元,剧情,影视娱乐,游戏","coser,情侣,舞蹈,插画师,二次元,模特,摄影师,lolita,古装/古风/国风,穿搭,滑板,跑酷,乐器,戏曲,变装,歌手/音乐",√,√,,√,√,√,,√,,,,,,"【3月】OST传媒 定制短剧刊例.xlsx
【3月】OST传媒定制短剧服务介绍.pdf
OST传媒-2025.3月刊例.xlsx",【OST传媒】-2025.4月刊例.xlsx,OST传媒-2025年5月刊例.xlsx,暂无,OST传媒-2025年7月2日刊例.xlsx,OST传媒-2025年8月刊例.xlsx,,OST传媒-2025年10月刊例.xlsx,,,
38,,深圳时刻文化传播有限公司,时刻文化,独代,X≥30%,信息服务费,,抖音、微信：30%，小红书：25%，其他平台免费分发不单独采买,抖音、微信：30%，小红书：25%，其他平台免费分发不单独采买,抖音、红书30%，时尚解说25%,抖音、红书30%，时尚解说25%,"241,400","241,400","抖音：所有类型32%，汽车量特别大的可以单独沟通
小红书：所有32%",,,6,1个月,/,否,/,路飞（陈光明）,商务经理 ,luffy@momentculture.com,ieven0303,ruby,商务总监,iruby007,,,,OA流程中,,2025/9/26,SIRI,,"汽车,美妆,时尚,生活,家居,数码,漫画","测评,探店,海归,高学历,高管,媒体主编/创始人,演员,（前）空姐,恋综嘉宾,舞蹈老师,模特,选美冠军,漫画",√,√,,√,,,,,,,,,,Robin【时刻文化&乘风破浪】2025年3月刊例 S .xlsx,【时刻文化&乘风破浪 Andy】2025年4月刊例.xlsx,/,Robin1时刻文化-乘风破浪 6月刊例(2).xlsx,Robin 时刻文化-乘风破浪 7月刊例.xlsx,时刻文化-乘风破浪 8月刊例.xlsx,,时刻文化-乘风破浪 10月刊例【科技家电；生活情侣亲子vlog；汽车；时尚资讯解说】.xlsx,,,
39,,长沙丁丁文化传媒有限公司,丁丁文化,独代,25%≤X＜30%,信息服务费,,"政策：独家刊例资源政策+全平台累量
0-300W 25%
300-500W 27%
大于500W 30%
",0-300W 25%,,,"1,083,400","1,083,400",,,,6,1个月,/,否,/,罗志泽,,994516365@qq.com ,,叮当,商务总经理,csddwh02,,,,"1、全平台机构自营/独家签约账号（包含：抖音 小红书快手 视频号）拉齐政策：25%
*累量以扣除平台服务费裸价累量
2、无法配合进行外采比价
3、无法配合进行平台代下单
4、若走平台需省广自行平台下单，下单预付无账期；若走水下合作账期最多1个月
5、返点账期（账号发布日计算）：1个月

丁丁的政策今年怎么感觉比去年还差了？@张鑫豪

————————
1、 全平台机构自营/独家签约账号（包括：抖音 小红书 快手 视频号）：
常规项目
0-300W 25%
300-500W 27%
大于500W 30%    
特殊项目
支付宝保险 20-60s【20%】/60s+【25%】   
汽车类客户 直接拉齐30%

要么全部拉齐30%，不要分汽车非车，要么起框要27%起@张鑫豪

—————————
目前沟通的政策如下，看是否还要推进签框@郑玉莹：
1、 全平台机构自营/独家签约账号（包括：抖音 小红书 快手 视频号等）：
常规项目-非车 独家
0-500W 28%
大于500W 30% 
常规项目-汽车 独家
>0W 30%

保险类项目或其他比价项目
>0W 20-25% （可具体沟通）

2、无法配合进行外采比价（可配合 具体需沟通）
3、无法配合进行平台代下单 （可配合 具体需沟通）
4、若走平台需省广自行平台下单，下单预付无账期；若走水下合作账期1个月
5、返点账期（账号发布日计算）：1个月

独家-项目省广单独承接，没有其他代理参与比较或者报价
比价-项目除省广以外，还有其余多家代理一起参与报价
@张鑫豪可推进签约","供应商配合度非常慢
且找各种理由拖延提交合同反馈以及入库材料，本年即将结束，建议不续签",2025/8/21,鑫豪,,"汽车,母婴,美妆,时尚,生活,家居,剧情","测评,大学生,电视台/电台主持人,高管,企业/品牌创始人,演员,专业化妆师/造型师,设计师,模特,导演,穿搭,变装,歌手/音乐,教师",√,√,,√,,,,√,,,,【长沙丁丁&集星】2025年1月刊例独家@阳阳(8).xlsx,【长沙丁丁&集星】2025年2月刊例独家@阳阳(3)(4).xlsx,【长沙丁丁&集星】2025年3月刊例独家@阳阳(4)(5).xlsx,【长沙丁丁&集星】2025年4月刊例独家@阳阳(4).xlsx,【长沙丁丁&集星】2025年5月刊例独家@阳阳(10)(1).xlsx,【长沙丁丁&集星】2025年6月刊例独家(3).xlsx,【长沙丁丁&集星】2025年7月刊例独家.xlsx,【长沙丁丁&集星】2025年8月刊例独家.xlsx,,【长沙丁丁&集星】2025年10月刊例独家..xlsx,,,
🔥new,,儒果文化,儒果文化,独代,X≥30%,信息服务*信息服务费,,"2024年框架政策：
车垂+旅行+财经账号（刊例sheet2、3）
0<X≤200w 27%
200<X≤500w 30%
500w<X 全额30%
娱乐营销账号（刊例sheet3、4）
星图40%，非星图45%

娱乐营销号合作金额可累计进梯度",0<X≤200w 27%,抖音、小红书、视频号、懂车帝拉齐30%,抖音、小红书、视频号、懂车帝拉齐30%,"1,835,000","1,835,000",,,,6,1个月,/,否,/,天逸,商务负责人,tianyi@ruguomcn.cn,13707972311,辜文勇,CEO,pig049,2025/7/1,2026/6/30,243,合同已寄出，待归档,,2025/9/26,SIRI,省广X儒果25-26年框合同.pdf,"汽车,生活,亲子,旅行,剧情,影视娱乐,财经,新闻资讯","测评,探店,电视台/电台主持人,节目创始人,二次元",√,√,,,,,,,,,,"1月-互动无限娱乐&新闻资讯刊例.xlsx
1月-儒果汽车、旅游刊例.xlsx","2月-互动无限娱乐&新闻资讯刊例.xlsx
2月-儒果mcn汽车、旅游达人刊例.xlsx","3月-互动无限娱乐&新闻资讯刊例儒果.xlsx
3月-儒果mcn汽车、旅游达人刊例.xlsx",【儒果】传媒mcn汽车、旅游达人刊例.xlsx,"5月-互动无限娱乐&新闻资讯刊例.xlsx
5月-儒果汽车、旅游达人刊例.xlsx","6月-互动无限娱乐&新闻资讯刊例.xlsx
6月-儒果汽车、旅游达人刊例..xlsx",7月-儒果汽车、旅游达人刊例.(1).xlsx,8月-儒果传媒mcn汽车、旅游达人刊例.xlsx,,"10月-互动无限娱乐&新闻资讯刊例.xlsx
10月-儒果传媒刊例（车垂，科技，旅游）..xlsx
10月-儒果自营母婴账号刊例.xlsx",,,
41,,北京青藤文化股份有限公司,青藤,独代,15%≤X＜20%,信息服务费,,"【B站和其他平台】
代理阶梯折扣：
0-100W：15%返点
101~300W：18%返点
301W+：20%返点/8折

【小红书】
代理阶梯折扣：
50万以下85折，50万以上8折

B站起步只能是15% 特殊电商季 比如 双十一和 618 部分博主独家博主可以给到20% 
先合作拿政策先走量",小红书、b站：15%,,,0,0,,,,6,1个月,/,否,/,晨熙,商务,weichenchen@ividea.cn,"电话   15311808390 
微信号  CC522601420",李晓 ,总监 ,curry324,2024.6.1,2025/5/31,-152,"机构：青藤
机构类型：独代

2025年政策（保持与2024一致）：

【B站和其他平台】
代理阶梯折扣：
0-100W：15%返点
101~300W：18%返点
301W+：20%返点/8折

【小红书】
代理阶梯折扣：
50万以下85折，50万以上8折

这两个平台低于20%我们基本不可能合作，如果谈不到20%以上，那就没必要签署了
@邓惠雅
B站起步只能是15% 特殊电商季 比如 双十一和 618 部分博主独家博主可以给到20% 
先合作拿政策先走量

返点账期：1个月
开票内容：现代服务*活动服务费
发票税率：6% 
是否可配合比价：可
年框时间：2025.8.1-2027.7.31",合作少，不签框，by case,2025/9/19,,,"母婴,美妆,时尚,生活,美食,亲子,家居,数码,二次元,剧情","测评,情侣,科普,动画,穿搭,学习,运动健身,配音,珠宝鉴赏",,√,,,,√,,,,,,"青藤-【b抖快微】25年1月刊例.xlsx
青藤-【小红书】光速吃饭25年1月刊例.xlsx","青藤-【b抖快微】25年2月刊例.xlsx
青藤-【小红书】光速吃饭25年2月刊例.xlsx","【b抖快微】青藤25年3月刊例.xlsx
【小红书】光速吃饭25年3月刊例.xlsx","【青藤】【b抖快微】青藤25年4月刊例.xlsx
【青藤】【小红书】光速吃饭25年4月刊例.xlsx","【b抖快微】青藤25年5月刊例.xlsx
【小红书】光速吃饭25年5月刊例.xlsx","【小红书】光速吃饭25年6月刊例.xlsx
【b抖快微】青藤25年6月刊例.xlsx","【b抖快微】青藤25年7月刊例.xlsx
【小红书】光速吃饭25年7月刊例.xlsx","【小红书】光速吃饭25年8月刊例.xlsx
【b抖快微】青藤25年8月刊例.xlsx",,,,,
🔥new,,上海灵猫文化传媒有限公司,灵猫,独代,25%≤X＜30%,信息服务费,,"独家政策：
抖音：25%
小红书、b站：20%
微博刊例价：供稿直发/转发无返点；原创返点刊例价的30%（即平台价格的30%）
公众号7折","独家政策：
抖音：25%
小红书、b站：20%
微博刊例价：供稿直发/转发无返点；原创返点刊例价的30%（即平台价格的30%）
公众号7折","全平台机构自营/独家签约账号（包含：抖音、小红书、B站、微博、微信公众号）
拉齐政策：抖音返点30%，小红书返点25%，B站微博微信公众号30%",抖音返点30%，小红书返点25%，B站微博微信公众号30%,"465,000","370,000",,,,6,1个月,/,否,/,吴荔枝,总经理,lizhi@shtt365.cn,XG88lffn,吴荔枝,总经理,XG88lffn,2025/1/1,2025/12/31,62,已归档,,,鑫豪,双盖版【供应商-年框合同审批-数字】上海灵猫文化传媒有限公司+年框供应商+2025年8月+2025年社会化媒体年度代理协议书-一式四份-批注版.pdf ,"美妆,时尚,生活,影视娱乐","测评,探店,演员,模特,漫画,教师",√,√,√,√,√,√,,,,,,灵猫文化2025年01月刊例.xlsx,灵猫文化2025年02月刊例..xlsx,灵猫文化2025年03月刊例.xlsx,【灵猫文化】2025年04月刊例..xlsx,/,灵猫文化2025年06月刊例.xlsx,灵猫文化2025年06月刊例.xlsx,灵猫文化2025年08月刊例.xlsx,,灵猫文化2025年10月刊例.xlsx,,,
43,,广州大象妈网络科技有限公司,象星球,独代+集采,25%≤X＜30%,信息服务费,,小红书：刊例表黄色25%，橙色15%，蓝色 10%-15%（蓝色大部分可给到15%）,小红书：刊例表黄色25%，橙色15%，蓝色 10%-15%（蓝色大部分可给到15%）,,,"1,830,285","1,830,285",,,,6,1个月,/,否,/,苏然,媒介执行负责人,yao@daxiangma.com, daxiangma506,,,,,,,"小红书：刊例表黄色25%（美赞成27%），橙色15%，蓝色 10%-15%（蓝色大部分可给到15%）@郑玉莹
黄色占比大概多少@林诗茹 80%以上，基本都是黄色为主@郑玉莹
推荐签署@林诗茹",推进续约-签署合同中-供应商,2025/9/19,SIRI,,,,,√,,,,,,,,,,未找到群聊,,,,,,,,,【象星球】10月小红书刊例1010.xlsx,,,
44,,武汉蓝色引擎网络科技有限公司,缤纷多彩,独代,25%≤X＜30%,信息服务费,,"抖音、快手平台政策
0-150w 返点22%
150w以上，返点25%",0-150w 返点22%,全平台25%、汽车行业30%,全平台25%、汽车行业30%,"100,000","100,000",,,,6,1个月,/,否,/, 阿星 ,,axing@wuyanliuse-Inc.com,,煎蛋,商务总监,18273943127,2025/7/1,2026/12/31,,已归档,,,SIRI,省广X缤纷多彩25-26年度代理协议.pdf,"汽车,母婴,生活,美食,亲子,数码,萌宠,旅行,二次元,剧情,影视娱乐,三农","测评,探店,大学生,情侣,舞蹈,插画师,二次元,漫画,运动健身",√,√,,√,,,,√,,,蓝色引擎公司介绍.pdf,杭州缤纷多彩-1月刊例 ---新.xlsx,杭州缤纷多彩-2月刊例 ---新.xlsx,杭州缤纷多彩-3月刊例 ---新(1).xlsx,【缤纷多彩】-4月刊例 （煎蛋）.xlsx,杭州缤纷多彩-5月刊例-小满.xlsx,杭州缤纷多彩-6月刊例-小满.xlsx,【缤纷多彩】7月刊例-小满.xlsx,【杭州缤纷多彩】-8月刊例-小满.xlsx,,杭州缤纷多彩-蓝色引擎 10月刊例（小满）.xlsx,,,
45,,杭州五颜六色文化传媒有限公司,五颜六色,独代,25%≤X＜30%,信息服务费,,"小红书（单独出来，不能一起累量）
0-100w，15%
100w+，20%
目前是机构公司要求小红书独立主体计量，目前暂时给不了这么高的返
抖音、快手平台政策
0-150w 返点22%
150w以上，返点25%","小红书：0-100w，15%
抖音、快手平台政策
0-150w 返点22%",抖音25%,抖音25%,"379,680","379,680",,,,6,1个月,/,否,/,五颜六色这边是王大花负责对接  colourful是皮皮负责对接,,王大花  wangzihan@wuyanliuse-inc.com     皮皮pipi@wuyanliuse-inc.com,王大花   15827072567    皮皮 18519145906,,,,2025/7/1,2026/6/30,243,已归档,,,SIRI,省广X五颜六色25-26年度代理协议.pdf,"汽车,母婴,美妆,时尚,生活,美食,亲子,萌宠,旅行,二次元,剧情,三农,游戏","情侣,二次元,科普,动画,古装/古风/国风,运动健身",√,,,,,,,,,,,五颜六色-杭州五颜六色-1月刊例.xlsx,五颜六色-杭州五颜六色-2月刊例.xlsx,五颜六色-杭州五颜六色-3月刊例.xlsx,还没出,没回复,杭州五颜六色-6月刊例6.3.xlsx,"杭州colourful-7月刊例.xlsx
五彩缤纷 7月小红书刊例-岚崽(1).xlsx",杭州五颜六色-8月刊例8.1.xlsx,,杭州五颜六色-10月刊例.xlsx,,,
46,,莆田五彩斑斓网络科技有限公司,colorful,,,,,,,,,,,,,,,1个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,杭州colourful-8月最新刊例.xlsx,,杭州colourful-10月最新刊例.xlsx,,,
47,,杭州五彩缤纷科技有限公司,五彩缤纷,独代+集采,20%≤X＜25%,信息服务费,,不做累框，小红书独家资源返点20%，外采资源不低于15%,小红书独家资源返点20%，外采资源不低于15%,外采独家可拉齐20%,外采独家可拉齐20%,"60,000","60,000",,,,6,1个月,/,否,/,耿聪,,jiuqi@wuyanliuse-inc.com,,九七,小红书商务组长,xiaohongshu97,,,,"1、小红书独家资源返点20%，外采资源不低于15%，大部分能给到25%，但无法按照25%作为基础框架签署
2、支付账期：一个月       返点账期：    发布后一个月       
3、开票：6%专票
4、不可代下单
@郑玉莹
@林诗茹这家现在全部都是小红书资源吗？建议独家和外采拉齐不低于20%的小红书政策，再低不OK
全都是小红书资源，外采独家可拉齐20%。@郑玉莹
@林诗茹可推进签约",入库流程中,2025/8/21,SIRI,,"母婴,美妆,时尚,生活,美食,家居,数码,萌宠,旅行,二次元,剧情","测评,探店,情侣,插画师,二次元,穿搭",,√,,,,,,,,,,,,五彩缤纷-3月红书刊例 岚崽.xlsx,【五彩缤纷】 4月小红书刊例-岚崽.xlsx,杭州五彩缤纷（小红书）5.26.xlsx,杭州五彩缤纷（小红书）6.4.xlsx,五彩缤纷 7月小红书刊例-岚崽(1).xlsx,杭州colourful-8月最新刊例.xlsx,,,,,
48,,上海睿驰嘉禾数字传媒科技有限公司,睿驰嘉禾,独代+集采,25%≤X＜30%,广告发布费,,"独家政策：不低于25%
外采政策：不低于20%","独家政策：不低于25%
外采政策：不低于20%",,,"1,920,000",0,,,,6,1个月,/,否,/,孙飞,副总经理,sunfei@ruiplus.com.cn,15010677891，gelunbu911,刘会冬,总经理,Frankliu2008 ,2024/7/1,2025/6/30,-122,,已过期，沟通中,,,睿驰嘉禾24年年框.pdf,"汽车,母婴,美妆,时尚,生活,美食,亲子,家居,数码,旅行,二次元,影视娱乐,财经,新闻资讯","测评,电视台/电台主持人,高管,企业/品牌创始人,媒体主编/创始人,舞蹈,作家,设计师,摄影师,科普,穿搭,AI,滑板",,,,√,,,,,,,,,,睿驰传媒-3月刊例.xlsx,【睿驰传媒】-4月刊例(1).xlsx,睿驰传媒-5月刊例（2）.xlsx,睿驰传媒-6月刊例.xlsx,睿驰传媒-7月刊例.xlsx,睿驰传媒-8月刊例.xlsx,,,,,
49,,搜瓦特文化传媒公司,sowhat,独代+集采,20%≤X＜25%,信息服务费,,"可以外采不能代下单
独家政策：只有小红书平台，小红书：20%
外采政策：不低于15%","小红书：20%
外采政策：不低于15%",,,"51,300","51,300",,,,6,1个月,/,否,/,吴诗琦,,kiki_sowhat@qq.com,,黄纯纯,商务主管,sowhattwo,,,,"机构：sowhat
机构类型：独代+集采

2025年政策：
可以外采不能代下单
独家政策：小红书抖音20%（季度合作达到40w，返点22%）
外采政策：不低于20%

返点账期：1个月
支付账期：无
开票内容：广告服务*广告发布费
发票税率：6% 
是否可配合比价：可
是否可代下单：否
年框时间：2025.8.1-2025.12.31",签框合同对方法务反映不签中介性质合同，如推进返点协议需改下；年框按照自然年先签到年底，后续沿用此次框架。@郑玉莹政策待确认,2025/8/21,,,"美妆,时尚,生活","测评,探店,coser,大学生,高学历,企业/品牌创始人,情侣,舞蹈,留学生,（前）女团成员,二次元,模特,lolita,古装/古风/国风,穿搭",√,√,,,√,√,,√,,,,「SOWHAT」搜瓦特25年1月刊例（1227）.xlsx,「SOWHAT」搜瓦特25年2月刊例（0119）.xlsx,「SOWHAT」搜瓦特25年3月刊例（0221）.xlsx,「SOWHAT」搜瓦特25年4月刊例（0326）(1).xlsx,「SOWHAT」搜瓦特25年5月618刊例（0425）.xlsx,「SOWHAT」搜瓦特25年6月刊例（0522） 1(1).xlsx,「SOWHAT」搜瓦特25年7月刊例（0625）.xlsx,「SOWHAT」搜瓦特25年8月刊例（0723）.xlsx,,,,,
50,,深圳市小雨互动有限公司,小雨互动,独代+集采,20%≤X＜25%,信息服务费,,"
政策：
全平台拉齐抖音、小红书、视频号
报备： 
0 ≤A<200：25% 
200≤A<500： 28% 
A≥500 ：30%

单点长点：
1、.全年优惠政策不拉齐，例：甲方向乙方采购的抖音等资源金额为2000万元，则返点金额为(300-0)*25%+(1000-300)*28%+(2000-1000)*30%=571万元；
2、累框金额按照乙方实收金额计算，即返点后或者折后价格累计
3、签约账号不累框不参与框架返点；

","全平台拉齐抖音、小红书、视频号
报备： 
0 ≤A<200：25% ",,,0,0,,,,6,1个月,/,是,/,刘琴,客户经理,Lucas@rainwe.com,15626550599,张宇,客户群总监,18675576228,2024/7/1,2025/6/30,-122,"机构：小雨互动
机构类型：独代+集采

2025年政策（沿用2024）：

全平台拉齐抖音、小红书、视频号
报备： 
0 ≤A<200：25% 
200≤A<500： 28% 
A≥500 ：30%
（目标要30%，不然抖音和视频号基本用不上@邓惠雅）
单点长点：（这部分对于我们来说意义不大）
1、全年优惠政策不拉齐，例：甲方向乙方采购的抖音等资源金额为2000万元，则返点金额为(300-0)*25%+(1000-300)*28%+(2000-1000)*30%=571万元；
2、累框金额按照乙方实收金额计算，即返点后或者折后价格累计
3、签约账号不累框不参与框架返点；

返点账期：1个月
支付账期：
开票内容：
第二优先级：*（其他）现代服务*信息服务费
发票税率：6% 
是否可配合比价：是
是否可代下单：是
年框时间：2025.8.1-2027.7.31",换对接人沟通政策中,2025/9/12,SIRI,,"汽车,美妆,时尚,生活,美食,剧情,漫画,财经","海归,高学历,情侣,专业化妆师/造型师,模特,穿搭,漫画,地方/行业资讯",√,√,√,√,√,√,,√,,,,小雨互动【美妆剧情漫画】1月刊例（7.0）.xlsx,小雨互动【美妆剧情漫画】2月刊例.xlsx,小雨互动【美妆剧情漫画】3月刊例（3.0）(1).xlsx,【小雨互动】【美妆剧情漫画】4月刊例（4.0）.xlsx,小雨互动【美妆剧情漫画】5月刊例（1.0）.xlsx,小雨互动【美妆剧情漫画】6月刊例（1.0）.xlsx,小雨互动【美妆剧情漫画】7月刊例（2.0）.xlsx,小雨互动【美妆剧情漫画】8月刊例（2.0）.xlsx,,,,,
