序号,昵称,达人链接,星图/花火/蒲公英主页链接,主发平台,账号类型,"主发平台
粉丝量（w）","1-20s
视频预估报价","21-60s
视频预估报价","60s以上
视频预估报价",第一梯度,第二梯度,第三梯度,政策,合作简介/说明,全网平台,当前政策梯度,下半年接单次数,,
41,地位极高硬气鑫,https://v.douyin.com/qfQV-9A1Koo/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6858510745127092237?market_track_id=Y7A9UY194VV1111XAR02&search_session_id=7547668124234039347&possessStarId,抖音,母婴/剧情/汽车,585.3,"124,000","180,000","198,000",30%,,,30%cpm40，cpe4,"地位极高硬气鑫 ：夫妻赛道自媒体创作者
高颜值一家三口👪抖音热搜话题【电竞房】开创者，相爱相杀的真实生活记录者~曾通过一条种草视频带动400w+GMV🛍
内容主打沉浸式种草、无痕转化带货，合作类目广，可合作母婴汽车、美妆、视频饮料等行业。
妈妈账号【少女鹿】宝宝账号【大结实】可一同享受政策优势
可合作平台：抖音 b站
视频号免费分发 授权三个月免费",抖音、B 站、小红书,,,,
42,家有懂车妹,https://v.douyin.com/61fNony/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6669674637334413316?market_track_id=JN5FKBYRP3WAHPN110FW&search_session_id=7547672087322738734&possessStarId,抖音,汽车,571,"130,000","150,000","180,000",30%,,,上汽和通用项目抖音政策30%，其他平台不低于20%,,抖音、小红书、视频号,,,,
43,九方狸狸,https://www.douyin.com/user/MS4wLjABAAAAJzKPOnH4Dsp13HmZiZOMiysZgRlNBLK3GFiFk0qF3LOoeNdlJt2ooUC9Djt7A2x5,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7210255893651259392?market_track_id=8KWGIBJRA6NNDZ50ZAO0&search_session_id=7547668729317163046&possessStarId,抖音,汽车,566,"59,000","89,000","109,000",30%,35%,40%,"1-3单30%
3-8单35%
8单以上40%","可合作：抖音 视频号 红书
抖音时尚达人、微信视频号认证时尚潮流达人、去哪网聪明旅行官、",抖音、视频号、小红书,,,,
44,纪涵中,https://v.douyin.com/jpMjP5CFzL4/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6618427330752675847?market_track_id=GIHXGHGP69N377YSNEEE&search_session_id=7547668871269253147&possessStarId,抖音,汽车/旅行,557.1,"188,000","198,000","238,000",25%,28%,,"1-5单25%
5-10单28%
保（cpm40，cpe4）","纪涵中：兼具新晋奶爸、自由导演、西班牙研究生等多重身份的优质抖音博主，配备高精尖制作团队。精通电影风格高级感旅拍及创意十足的 vlog 创作。
可合作的平台有:抖音，微博
全平台分发优势",抖音、小红书、微博、视频号,,,,
45,张潇洒Rosa,https://www.douyin.com/user/MS4wLjABAAAArCimd37pmtZPRnWHz2RwlAgNdllP6kfHel3UlFyuWOc,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7181800012072878141?market_track_id=7PANQ4IRAU0K5B7VY72S&search_session_id=7547669133392609331&possessStarId,抖音,汽车/旅行,515,"200,000","250,000","300,000",30%,,,抖音统一30%,"抖音官方旅行推荐官
中国文旅直播大会云游推荐官
中国文旅直播大会短视频创意大奖",抖音、小红书、视频号,,,,
46,方也,https://v.douyin.com/IlXqOorM_zU/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7375087243339251749?market_track_id=ERBIJ7HD5OUJNNHZHCLH&search_session_id=7553925276846899246&possessStarId,抖音,母婴/旅行/汽车,1103.2,"210,000","246,000","250,000",30%,,,抖音统一30%（cpm40，cpe4）,"寻光纪：抖音年度先锋创作者，拥有庞大且高黏性粉丝群体。其视频极具电影质感，善于从旅行、生活场景中自然融入产品。
视频号分发",抖音、小红书、视频号,,,,
47,糖炒李子,https://www.douyin.com/user/MS4wLjABAAAAbkG2OiORbsRJXhp2kzjg8mkoyc0_WqGPSdyal57XZDQ,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7208948265927049274?market_track_id=XGLW049VIQ3TZADQZCLX&search_session_id=7547669894713344046&possessStarId,抖音,汽车/旅行,446.6,"100,000","128,888","158,888",30%,,,30%,,抖音、小红书,1126反馈：最新政策可以给到1-3单30%，3-5单33%，5单以上36%,,,
48,所长Wy,https://b23.tv/D4XLQ31,https://huahuo.bilibili.com/#/upper/page/497525820?referer=brand_square_common,B站,汽车,128.1,/,/,定制视频：500000,25%,,,25%,所长wy：B 站汽车领域头部 UP 主，荣获 2024 年 bilibili 百大 UP 主称号。擅长运用 “虚拟模型 + 现实拍摄” 手法，将复杂汽车智能科技原理可视化呈现，内容专业性极强。,B 站、抖音、小红书,,,,
49,高文君 Wendy,https://www.douyin.com/user/MS4wLjABAAAA5QmUYWFbxAFJWwNwePV6eU_o8ZPAfqOPyl6TVmfKoS8,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7064818699856773157?market_track_id=NYOMMFS8HNOY796L0HDD&search_session_id=7547670139991457842&possessStarId,抖音,颜值、时尚,152.2,"50,000","109,800","119,800",30%,,,单平台30%，双平台打包37%,"哥大硕士，港大博士
2020亚洲小姐&最佳上镜小姐
脑暴综艺《超机智青年大会》选手
恋综《我们恋爱吧》女嘉宾
TED特邀演讲嘉宾",抖音、小红书、快手、b站、视频号,,,,
50,,https://www.xiaohongshu.com/user/profile/5928f62c50c4b417b0feead6,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5928f62c50c4b417b0feead6?track_id=kolSearch_b45ea89e0ced421490a1c0d6d44381d2&source=Advertiser_Kol,小红书,,42.8,/,,图文报备：79800 视频报备：89800,30%,,,,,,,,,
51,HOLA小测佬,https://space.bilibili.com/406636263?spm_id_from=333.788.upinfo.head.click,https://huahuo.bilibili.com/#/upper/page/406636263?referer=brand_square_common,B站,美食,500,/,/,定制视频：330000,30%,35%,40%,"B站：30%
累计3单定制：35%
累计5单定制：40%
","B站连续2年TOP100 
B站年度百大UP主
抖音精选作者",B站、抖音、小红书、视频号,,,,
52,包子和饺子和肉丸子,"
http://v.douyin.com/mEBHJ1/

",https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6660700679570456589?market_track_id=YG36XHP43QNKH50DMDHT&search_session_id=7547660521072918566&possessStarId,抖音,母婴/剧情,1656.8,"160,000","210,000","250,000",30%,31%,32%,视频号，头条，懂车帝免费分发,全网母婴头部Top10，抖音cit年度最具价值达人,抖音、快手、视频号、头条、懂车帝,,,,
53,几分钟义务教室,https://b23.tv/3VBXDlc,https://huahuo.bilibili.com/#/upper/page/70783742?referer=brand_square_common,B站,专业汽车拆解/碰撞实验,103,/,/,定制视频：450000,,25%≤X,,,"B站头部汽车必选榜TOP7
B站汽车领域专业博主，具有非常专业的编导团队及摄影团队，团队整体配合度都很高
可配合完成多种汽车相关的大工程实验测评
如发动机拆解风洞测试、发动机拆解、假人军团等
与上汽大众、奥迪、沃尔沃、比亚迪等一线汽车品牌常年合作",B 站、抖音、小红书、视频号、微博,,,,
54,赵鹏皓和姐姐,https://v.douyin.com/Qd0WWdAMeO4/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6979915975554498568?market_track_id=LZLIXBFI62UHJZN2VV6K&search_session_id=7547667008680329225&possessStarId,抖音,搞笑剧情博主,690,"180,000","200,000","260,000",30%,,,,"搞笑短视频内容创作者
抖音星选计划达人
抖音新兴的姐弟剧情账号，日常内容风趣幽默，十分真实
达人配合度高，可合作类目广泛，粉丝黏性高
与海尔、早安咖、海龟爸爸、小米、京东、oppo等一线大牌深度合作",抖音、红书、快手、b站、视频号,,,,
55,崔磊-为思考点赞,https://www.douyin.com/user/MS4wLjABAAAAu-pWFoYF8sR38Vy7NRFdm9WQOgK_yav0l5TkI90nZZU,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6639200820489355267?market_track_id=MH8JVTM0C5J7AWYCYG3N&search_session_id=7547662623261622310&possessStarId,抖音,财经,1406.5,"110,000","260,000","338,000",30%,,,,"头部必选榜·月榜·财经TOP2
抖音粉丝1400w+， 点赞超过1.6亿+
纪棠MCN董事长👍🏻
头条学堂签约讲师、巨量学认证讲师、抖音电商认证讲师
著名主持人，13年资深传统媒体从业经验
浙江科技新媒体联盟会长、清华大学硕士在读
浙江传媒学院播音主持艺术学院客座教授 可合作汽车、3C、快消、互联网、财经等多种领域项目",抖音、视频号、快手、小红书,,,,
56,飞飞的车COOL,https://space.bilibili.com/50693252,https://huahuo.bilibili.com/#/upper/page/50693252?referer=brand_square_common,B站,汽车,114.8,/,/,定制视频：550000,25%,30%,35%,1单25%（两单及以上返点30% 三单及以上 返点35%）,"B站汽车头部必选榜·TOP4
B站丝115w+ ，粉丝获赞700w+
真实女司机，自己买车自己测 豪车超跑 国产车车主 留英9年 真实人设强 粉丝粘性大 近期各大汽车品牌忠爱合作的博主 与华为 理想 奔驰 大众 奥迪 玛莎拉蒂 保时捷 路虎 领克等一线大牌多次合作",微博 抖音 视频号 西瓜视频 今日头条 汽车之家 懂车帝 易车,,,,
57,NMNP陈璟,https://space.bilibili.com/326783347,https://huahuo.bilibili.com/#/upper/page/326783347?referer=brand_square_common,B站,汽车,53.6,/,/,定制视频：350000,35%,,,返点35%,"B站年度体验测评up主
B站粉丝100w+、点赞500w+
90后少年，对汽车有非凡的热爱，更想把好的理念传达给观众
10年的改装玩车经验，对汽车有专业的知识储备！
拥有汽车场地赛照，专业跑赛道，拥有自己的线下汽车改装厂，对于汽车的认知和了解更专业 可做改装、测试、解说等多元内容🏎
只要你能想到的汽车品牌，都合作过！！",b站 视频号 抖音 小红书 微博,,,,
58,原来是兄长大人,https://www.douyin.com/user/MS4wLjABAAAAbsVMEpt-fua_wAoNF2E8RskqR6fC6Jq2MOepD6FkYtkJ3LRTzM9QHUwfUn2ynzJQ,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6766034729918529543?market_track_id=SL22CKUWTDWPCZESRZRU&search_session_id=7547663465377202226&possessStarId,抖音,家庭/校园,1137.1,"47,100","53,300","60,000",30%,35%,,1-3单30%3单以上35%（如果涉及比价或者特殊项目可以直接给到35%）【合作时候其实可以直接35%】,"抖音头部剧情账号
初代头部剧情账号
抖音粉丝1100w+ ，获赞1.4亿+
最初以情感解读、人生感悟和成长经验分享为主要内容，吸引了一批忠实粉丝。
随着账号的发展，内容逐渐丰富，包括家庭故事、职场心得、人际关系等方面，涵盖了更广泛的生活话题。
与各大行业深度合作，包含汽车、快消食品等多种行业",抖音、快手、小红书、视频号,,,,
59,冰糖小小酥,https://www.douyin.com/user/MS4wLjABAAAAl0Q-MIORzDupcWzXavXn34bGD8VlQdbOouU3-it9s0OqStEicA3ebgXSEM91563k,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6868197671186743309?market_track_id=LDW8JDAXJASNSBI327DD&search_session_id=7547669122524971054&possessStarId,抖音,情侣 vlog,542.4,"100,000","150,000","200,000",30%,,,30%保kpi,"抖音高颜值情侣账号
真实生活状态记录者
抖音粉丝500w+、深度链接用户1000w+、点赞1.8亿+
星图指数行业排名前10%（视频完播率11.1%，互动率5.3%） 
预期CPM: 40 ，星图播放中位数: 413.5w，
观众画像——核心三大（z时代、小镇青年、新锐白领）占比92.7%
合作涵盖多种领域视频数据优秀互动强 曾与京东、得物、资生堂、饿了么、领克、吉利、曼卡龙、花西子等一线大牌多次合作",抖音、小红书、视频号,,,,
60,玩车教授,https://www.douyin.com/user/MS4wLjABAAAA2suzxkjl9gh5ekGHCF-CAmoQzNSaJMx57Y9Tf_-8o_w,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6747589744776970243?market_track_id=GKYS4FC5ZPZYIBEARGPL&search_session_id=7547668717649182730&possessStarId,抖音,汽车,559.8,"80,000","200,000","240,000",30%,,,30%保kpi,"玩车教授：头部汽车账号
高潜榜·周榜·汽车·第19名
抖音粉丝500w+，懂车帝粉丝600w+，全网粉丝超3000w
垂类汽车达人，新豪华专业户
智能化新车体验&种草为主，聚焦新豪华、智能驾驶
涉及泛汽车生活话题，粉丝们的贴心买车顾问，播放和互动性强 与一线大牌理想、大众、凯迪拉克等多次合作🚗",微信、抖音、懂车帝、聚光、视频号,,2,,
61,东北滴小贾老师,https://www.douyin.com/user/MS4wLjABAAAA8xDBul3dQsxwZJutJwzpcibM6bxpc1DhYSJiKYGaBVI,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6870164396090327053?market_track_id=G6KT6FS03KHAMW05PSJ2&search_session_id=7547665438441226290&possessStarId,抖音,三农/生活,804.5,"240,000","270,000","298,000",30%,35%,,1-6单30%，6单以上35%,"2025最具商业价值kol
A3种草榜 周榜 TOP12
抖音粉丝780w+、深度链接用户1300w+、点赞2.1亿+
月链接用户数2000w+
曾是高中语文老师，现在拍摄农村温馨家庭生活
曾与京东、得物、资生堂、饿了么、领克、吉利、曼卡龙、花西健达，修可芙，羽素，小度，五菱，丸美，韩束多次合作",抖音、快手、视频号、小红书,,,,
62,快男fastboy,https://www.douyin.com/user/MS4wLjABAAAAyCovnP8UvbrPZDop-1j5DjNTG1-8X4_naTxxcclWB4k?from_tab_name=main,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7288169149182771241?market_track_id=4DA7AOR6EATOOMKY59WI&search_session_id=7547663985387044910&possessStarId,抖音,汽车,984,"200,000","298,000","328,000",30%,,,返点30%保kpi,"抖音、B站头部汽车达人
bilibili汽车哔斯卡得主
抖音粉丝900W+，B站粉丝20W+，全网粉丝1000W+。
汽车圈的 “奥斯卡”得主，
每一辆车都有TA的故事，
每一个车评都是一部微电影。
与一汽、广汽、小米、阿维塔、长城、比亚迪、迈凯轮、法拉利等一线大牌汽车深度合作🚗",抖音、B站、懂车帝,,,,
63,刀小刀sama,https://www.douyin.com/user/MS4wLjABAAAAjokzGmEP4JWyomHlRwsqQNLjCqW-3Ao3zzrgJrik9ew,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6763255570502778892?market_track_id=EENXQKXBZ1FWNTKB0F4U&search_session_id=7547660336665755686&possessStarId,抖音,颜值/美妆,1676.9,"200,000","250,000","300,000",30%,32%,,返点30%，2单以上32%,"抖音头部颜值账号
抖音粉丝2000万+，内容传播力强，单条视频常破亿播放
甩发换装风格独特，辨识度高，适配时尚、美妆等多类品牌
商业变现能力突出，过往专场直播交易额超200万，带货效率高，能为品牌带来良好曝光与转化
与一线大牌阿玛尼、OLAY、乌苏、伊利、VIVO、波司登、、凯迪拉克、哈弗、东风日产等多次合作",抖音、小红书,,,,
64,彦儿,https://www.douyin.com/user/MS4wLjABAAAA_W83nYbVqC5M9bEsrbuLlji8WVSOdyWrz-7_KuhoAas,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6701875533669466123?market_track_id=5X3JKIUQXPR55APMHUR4&search_session_id=7547664067104817198&possessStarId,抖音,剧情,973,"158,000","178,000","188,000",30%,32%,,返点30%，2单以上32%,"抖音头部剧情、颜值账号
品牌优选榜·周榜·日化·第5名
抖音粉丝900万+，短剧单集播放破亿
以大女主逆袭剧情精准触达25-35岁女性
深度种草逻辑：通过职场歧视、婚姻危机等冲突场景，自然植入护肤品（逆袭妆容）、家电（独立生活必备）、快消品等多品类，用户主动求链接比例达12%。",抖音、小红书、视频号,,7,,
65,康康和爷爷,https://www.douyin.com/user/MS4wLjABAAAAjoHZDBqJn14lTMqs9gAv7qrJ_OIHEu3Zkqaf3BWDHfIIeDCGCTkWs5yENOsDgr1y,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6746789347472703491?market_track_id=XNNB8HI7WO7FCNVB1GCG&search_session_id=7547667727466217481&possessStarId,抖音,生活/穿搭,620.2,"150,000","180,000","200,000",30%,32%,,返点30%，2单以上32%,"2025最具商业价值kol
A3种草榜·周榜·TOP10
坐拥650万粉丝，覆盖各年龄段
89岁爷爷的多巴胺穿搭和时尚造型，搭配与孙子的温馨互动，内容新奇有吸引力。退休大学教师的身份，传递热爱生活的正能量价值观，能提升品牌美誉度。吸引时尚、泛户外、家庭等多圈层关注，能扩大品牌影响力和受众范围。",抖音、小红书,,,,
66,夏叔厨房,https://www.douyin.com/user/MS4wLjABAAAAYT9oc6rr0kDXBlwIvBAK7W2ZH134Uq9X-_FdAjJnK_fhwKc3b8d_FZfQdY6EiJJX,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6870170359392370696?market_track_id=K774TFJSRO9OY9HMDJPZ&search_session_id=7547658592448233482&possessStarId,抖音,美食,2000,"168,000","188,000","259,800",30%,,,返点30%,"抖音头部美食达人
A3种草榜·月榜·3C及电器·第5名
抖音粉丝2000W+，月链接用户数17000w+，全网粉丝7000W+
中国 烹饪大师、中国 药膳大师、国家 高级烹调技师
与多品牌合作单条短视频播放量5000w+
短视频带货3000万+/年1000万级短视频100余条
与金龙鱼、胡姬花、汤臣倍健、李锦记、海天等一线大牌深度合作",抖音、小红书、快手、视频号、B站,,,,
67,鹿姐说车,https://www.douyin.com/user/MS4wLjABAAAA1lWM7oPwFpGoRL1TkDc0JygcMJmG7gDMIeLlQ9dijSs,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6677900201262317572?market_track_id=NY7QRHYX3NOCAAIBINLO&search_session_id=7547669849536299035&possessStarId,抖音,汽车,447.6,"50,000","120,000","140,000",35%,37%,40%,1-3单：35%，3-5单：37%，5单以上：40%,"抖音精选汽车达人
抖音精选汽车达人
抖音粉丝400w+，覆盖各年龄段
从事汽车行业10余年， 擅长通过故事场景， 融入汽车知识和产品卖点。 试驾车型超百辆，持续分享选车用车知识
与一线汽车品牌吉利，长城，比亚迪，鸿蒙智行，大众，别克，雪佛兰，奥迪，宝马，奔驰，沃尔沃，凯迪拉克等多次合作",抖音、小红书、视频号,第一梯度,1,,
68,王七叶,https://www.douyin.com/user/MS4wLjABAAAAx9bJJ-j_53d3oTtZGZ5c1Eo2ZhGRIerp0QrsHK5Dc8I?from_tab_name=main,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7099623871686377480?market_track_id=G04Q26HNH00G3PJKJ0V8&search_session_id=7547661182179196937&possessStarId,抖音,剧情/搞笑,1474,"600,000","600,000","700,000",30%,,,返点30%,"抖音头部剧情、颜值账号
抖音粉丝1400w万+，短剧单集播放破亿
视频内容主打颜值+搞笑垂类，结合港风喜剧元素，演绎情
感话题，“ 勇敢表达自我 ”的女性力量
半年快速涨粉500W+，一年涨粉1000W+
全品类品牌都可合作",抖音、快手、视频号、小红书、微博、B站,,,,
69,黄林熠Adam,https://www.douyin.com/user/MS4wLjABAAAAsJes-RFRMAEXIzNqWYR2HbKbzvcATIIl8WorW6eJjEQ?from_tab_name=main,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6726824580444340235?market_track_id=M4WTS9L4UNHHYWNX7HXX&search_session_id=7547667693615267867&possessStarId,抖音,汽车,632.8,"120,000","298,000","328,000",30%,31%,32%,1-3单返点30%，3-5单31%，5单后每单加2%,"抖音精选汽车达人
中国汽车耐力锦标赛官方评论员
抖音粉丝600w+，月链接用户数1200w+，获赞1.4亿
前名车志视频总监、F1中国电竞赛官方评论员
CEC中国汽车耐力锦标赛 官方双语主持人
WERC世界电竞挑战赛 官方评论员/主持人
前China GT官方双语主持人
与一线汽车品牌宝马、奥迪、林肯等多次合作",抖音、视频号、汽车之家、懂车帝,,1,,
70,驴驴baby,https://www.douyin.com/user/MS4wLjABAAAAlfvB70WNDdjfdNKi4Wh-Geb-cCU0-xPU5MfQDTOCw-Q,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6832607510709403661?market_track_id=OJBDTNZMUIVKXK2CZN5C&search_session_id=7551613951467487241&possessStarId,抖音,车评,358.6,"150,000","170,000","190,000",30%,32%,35%,1-3单：30%，3-5单：32%，5单以上：35%,"驴驴baby为抖音垂直领域创作者，专注于汽车评测、行业分析等内容，其账号风格结合专业性与娱乐化表达，在抖音汽车垂类中具有较高影响力；

行业排名‌：2025年4月至6月期间，其账号稳定位列抖音汽车达人榜单前20名，最高单日排名达第2位（2025年4月10日）。‌
‌互动数据‌：单条视频平均获赞超10万，评论互动量约1.2万-5.2万（根据2025年5-6月榜单推算）。‌
‌粉丝增长‌：2025年上半年粉丝量从约340万增长至350万，增速稳定。‌",抖音、视频号,,,,
71,姜小团团,https://www.douyin.com/user/MS4wLjABAAAAf4xNGPla1VyghbomGOfRoQDhvQMrMsMbrL0ZOkebyKk,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6596679542230745102?market_track_id=JALSJZ0ET908TR2Z7687&search_session_id=7551615626169335834&possessStarId,抖音,情侣/生活,936.2,"190,000","220,000","240,000",30%,,,最高返点30%,姜小团团是斗鱼游戏主播、歌手，以搞笑解说风格和魔性配音走红。2019年获斗鱼粉丝节冠军，成为首位获奖女主播，全网粉丝超6000万,抖音、小红书,,,,
72,壹拍即合环游记,https://v.douyin.com/kH35fvw,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7185867647823659065?market_track_id=7C2Z4O8P74QV1PU0PQ40&search_session_id=7553925686151446555&possessStarId,抖音,汽车旅行,901.6,"99,800","128,800","148,800",27%,30%,,"1-5单27%
5-10单30%",,视频号、小红书,,,,
73,四四(壹拍即合),https://v.douyin.com/ih3oyas,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6963194384653238308?market_track_id=73WUXEXD5FG1PPGHGPOJ&search_session_id=7553927037292019763&possessStarId,抖音,运动汽车旅行,362.7,"50,000","70,000","80,000",30%,35%,,"1-5单30%
5-10单35%",,视频号、小红书,,,,
74,屿纪(奶爸版),https://v.douyin.com/erqYGrY,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6839641874072862733?market_track_id=ETSQIP2WRFCLLU2CGS8N&search_session_id=7553927492529569830&possessStarId,抖音,家庭奶爸汽车,207.2,"56,600","66,600","88,800",30%,35%,,"1-5单30%
5-10单35%",,视频号、小红书,,,,
75,游亦,https://v.douyin.com/YfTp4cK,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7104290665034416136?market_track_id=4L4XZ89IAEYYG03QC15W&search_session_id=7553928070064504841&possessStarId,抖音,汽车,233.2,"40,000","50,000","70,000",30%,35%,,"1-5单30%
5-10单35%",,视频号、小红书,,,,
76,玩车日志CarsJournal,https://space.bilibili.com/1599697382?spm_id_from=333.337.0.0,https://huahuo.bilibili.com/#/upper/page/1599697382?referer=brand_square_common,B站,汽车,41.2,/,/,定制视频：200000,30%,,,返点30%,"抖音粉丝101w | B站粉丝41w | Bilibili2024年度黑马Up主
连续20条内容全站热门2条全站每周必看内容
赛道，山路，多车测评，游记测评等多元化发展的Z时代汽车博主🏎",抖音、B站、小红书、视频号,,,,
77,WAVEBEE,https://space.bilibili.com/178649701?spm_id_from=333.337.0.0,https://huahuo.bilibili.com/#/upper/page/178649701?referer=brand_square_common,B站,汽车,30,/,/,定制视频：249999,30%,,,返点30%,"B站粉丝30w | Bilibili2023汽车多元特色奖 & 2024年度黑马Up主
做车评十年，从Youtube/Instagram英语节目起步。
赛道/线上双线并行：2024 CEC GT4（成都站）季军 / 领客杯（宁波站）亚军。",B站,,,,
78,张之助, https://v.douyin.com/mDgdmDEba5o/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6629666898638274568?market_track_id=O0LVZ2KT64D5WW679LF8&search_session_id=7559540411232976906&possessStarId,抖音,剧情搞笑,1024.4,"60,000","80,000","100,000",30%,,,返点30%,超头部一人分饰多角搞笑剧情演绎博主，原创生活喜剧风格深受粉丝的喜欢，可自然植入各品类产品，配合度超高。,视频号、小红书,,,,
79,张金条, https://v.douyin.com/ZsKu7GK4UVM/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6781634409817702407?market_track_id=A1QT2YBGRFMDKTIEZCN5&search_session_id=7566825310420467721&possessStarId,抖音,剧情搞笑,532.1,"180,000","250,000","280,000",30%,,,返点30%,500 万网友认证的‘快乐充电器’，用最真实的搞笑细胞，让你刷到就忍不住咧嘴笑。,抖音、快手、B站、小红书、视频号,,,,
80,紫菜蛋花兔, https://v.douyin.com/F3Ok2AACzC8/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6629184026739474445?market_track_id=BHSY686BX4416BPCYGWH&search_session_id=7566825653408940041&possessStarId,抖音,剧情搞笑,521.3,"55,000","55,000","75,000",30%,,,返点30%,软萌的外表搭配猛男的内在，用最强的反差展示搞笑灵魂 ,抖音、快手、B站、小红书、视频号,,,,
81,云吞它爹, https://v.douyin.com/bPJuInyUV6M/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6794751155218939912?market_track_id=YYCZ15CFS391DLJ9O3SC&search_session_id=7566827783929511974&possessStarId,抖音,剧情搞笑,1255.4,"160,000","400,000","450,000",30%,,,返点30%,家庭情景剧创作风格独特，以“艺术之家催婚”系列引发广泛共鸣，互动数据亮眼。人设亲切真实，用户粘性高，18-30岁粉丝占比大，能助力汽车品牌实现跨圈层传播和高效种草。,抖音、快手、B站、小红书、视频号,,,,
82,林述巍-林大厨,https://v.douyin.com/Ah76IMNJ2jA/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6794891934574837767?market_track_id=RTG3ST808H5CHR7PYROE&search_session_id=7573970201386778675&possessStarId,抖音,美食,569.7,"100,000","150,000","190,000",30%,35%,,1-3单30%，3单以上35%,"国民星厨，曾担任联合国世界旅游组织大会晚宴菜单设计总厨、G20 财长峰会成都晚宴主厨、成都全球财富论坛晚宴总厨等。
《中餐厅》第三、四、七、八、九季主厨，曾作为嘉宾参与央视《三餐四季》、《快乐大本营》《天天向上》《你好星期六》等综艺节目的录制。",抖音、快手、B站、小红书、视频号,,,,
83,吃不饱仨战士,https://v.douyin.com/XBAub70_nuY/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6968404357003870247?market_track_id=6KLOW5ANDLC84GUD67BX&search_session_id=7573972046855421978&possessStarId,抖音,美食,959.2,"125,000","183,600","210,100",30%,35%,40%,1-3单30%，3-8单35%，8单以上40%,全网粉丝超千万，美食垂类头部达人，内容以高品质、真体验探店为核心，视频感染力强易引发共鸣，具备强大的品牌带货与场景化种草能力。,抖音、快手、B站、小红书、视频号,,,,
84,陈嘉伦整个路人,https://v.douyin.com/XldoC4G9YEI/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6794302561831632903?market_track_id=UYB3S6ZHV18QNUSHPG0I&search_session_id=7573973948519202826&possessStarId,抖音,剧情搞笑,618.1,"150,000","180,000","200,000",30%,32%,,1-3单30%，3单以上32%,曾因全网首创出“电梯从众系列”、“疯狂的BGM系列”、“腋毛美女系列”而迅速爆火走红，获得网友们的喜爱。以其独特的路人视角和真实体验，巧妙融合品牌信息，实现高效曝光与口碑沉淀。,抖音、快手、B站、小红书、视频号,,,,
85,高文麒,https://v.douyin.com/9nbfGj81gIY/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7183498027762450436?market_track_id=PWUWBGZ9D56UV1T5BRNB&search_session_id=7573974726969376806&possessStarId,抖音,美食,268.4,"68,000","78,000","120,000",30%,32%,35%,1-3单30%，3-5单32%，5单以上35%,"智趣兼备的美食文化说书人
《舌尖上的美食》1-2季 美食顾问
腾讯视频《风味人间》美食顾问
东方卫视《家国万里》探访嘉宾
浙江卫视《听说很好吃》嘉宾
河南卫视《中国有好菜》顾问
山西卫视《世界面食大会》评委",抖音、小红书、B站,,,,
